,open,high,low,close,volume,code,ma,rsi,maps
20,36058.42937176518,36893.477447168705,35593.18281970971,36032.351729332535,5664044,005930,36689.98890859086,42.26171525870135,-5.912309990319989
21,35485.608289435164,35520.59950016413,35118.822834179395,35177.892323263135,106053,005930,36579.68848359032,37.142880048443416,-8.447417429779831
22,35703.783953590486,36773.326908770745,35361.66884179822,35812.75740945797,9923753,005930,36491.988589050176,39.20423795048748,-5.450755877994808
23,35187.49966401612,35269.65862309689,34874.51215640144,34951.70790717431,1454355,005930,36363.09108158195,41.80096563689492,-9.930559581943163
24,35575.01837512371,35575.01837512371,34838.657916013195,35366.85364389384,716021,005930,36266.28018931149,44.07782428390886,-7.078350434048902
25,37009.04422421992,37122.2722498051,36144.03883321652,36760.16271341238,4466566,005930,36177.67598513701,49.299985492306945,-2.9188900862643017
26,36548.67782671163,36973.843213553984,36491.979197969085,36717.307705180116,8642475,005930,36130.76727139759,54.37357865561841,-1.3054436716521884
27,36017.194570041625,37045.70699408413,35830.005479714426,36110.74776722568,3471930,005930,36036.07229287291,54.245993965854986,-5.200711947969985
28,36205.25507807343,36820.259187762276,35873.39844092706,36336.21991244239,7532734,005930,35939.544177017975,49.803690191516885,-3.9216466913361954
29,35833.43750171652,35881.29029313246,35399.81510754318,35875.97848939986,4760439,005930,35898.358988549735,49.186333510035155,-2.225421295679287
30,35162.13153958804,35919.00398531583,35162.13153958804,35372.6327205439,4477269,005930,35833.202839261314,45.65475389906256,-4.403883058710974
31,34858.195269688316,36087.72568707614,34858.195269688316,35065.475027561195,7434697,005930,35739.93590413754,49.84437361636801,-6.922473093206603
32,35958.29597703302,36809.42982614536,35071.31579768109,35883.385440802944,2305473,005930,35746.57545155584,50.21888919992011,0.7322700616757254
33,35078.98241091772,35391.050183911255,34350.1177089783,35024.86315068315,8610766,005930,35739.31721580092,51.95311207010499,-2.60713268553583
34,35053.655730347746,35822.90197740459,34530.64501522706,35297.18898364713,4454367,005930,35685.38345646654,45.54620616653107,-3.607805094871428
35,35700.36488826053,36746.1663719916,35534.662016515336,35827.095591296646,459257,005930,35674.62029860546,54.09402556411756,-0.5792475173410014
36,37398.55876049971,37398.55876049971,36601.71440418252,37035.27285588054,7843737,005930,35712.18848086077,57.18959368468302,5.0566846647815265
37,35809.917877122396,35840.24712589827,35177.4153349352,35481.80166475689,1373016,005930,35731.51009604044,52.88269890121665,0.11397554156924361
38,36485.60779069054,36700.950250940165,35780.52432138977,36294.93725614043,1179458,005930,35754.20582877267,54.83760350303209,2.295063996015183
39,35777.87377477277,35777.87377477277,35060.167049234034,35525.40599793529,9488016,005930,35797.50191450152,43.11623327618287,2.426647896014554
40,36610.36455226642,37038.877901479835,35639.417907259,36428.875210813414,5148803,005930,35817.32808857556,48.53278134069851,2.9545927963168874
41,36461.76341820936,37832.249995569895,36461.76341820936,36782.59885800439,9333307,005930,35897.56341531262,53.50785142921671,6.676352368666954
